DATE,품목명,총반입량,전일,전년
2022-10-17,배추,769,0,0
2022-10-15,배추,338,570,508
2022-10-14,배추,570,594,705
2022-10-13,배추,594,665,498
2022-10-12,배추,665,443,620
2022-10-11,배추,443,643,641
2022-10-10,배추,643,0,0
2022-10-08,배추,642,579,716
2022-10-07,배추,580,922,628
2022-10-06,배추,922,532,646
2022-10-05,배추,532,260,555
2022-10-04,배추,260,353,823
2022-10-03,배추,352,0,0
2022-10-01,배추,427,555,489
2022-09-30,배추,556,525,254
2022-09-29,배추,524,503,481
2022-09-28,배추,503,639,664
2022-09-27,배추,639,540,675
2022-09-26,배추,540,0,0
2022-09-24,배추,552,543,836
2022-09-23,배추,544,462,0
2022-09-22,배추,462,695,0
2022-09-21,배추,695,386,0
2022-09-20,배추,387,471,0
2022-09-19,배추,472,0,0
2022-09-17,배추,413,554,748
2022-09-16,배추,554,535,761
2022-09-15,배추,535,504,756
2022-09-14,배추,505,477,844
2022-09-13,배추,478,0,900
2022-09-09,배추,183,817,663
2022-09-08,배추,818,749,450
2022-09-07,배추,750,783,713
2022-09-06,배추,783,897,674
2022-09-05,배추,897,0,0
2022-09-03,배추,904,1060,656
2022-09-02,배추,1060,621,288
2022-09-01,배추,621,589,412
2022-08-31,배추,589,955,700
2022-08-30,배추,955,689,639
2022-08-29,배추,689,0,0
2022-08-27,배추,660,664,552
2022-08-26,배추,664,722,523
2022-08-25,배추,722,669,195
2022-08-24,배추,670,539,533
2022-08-23,배추,539,709,554
2022-08-22,배추,710,0,0
2022-08-20,배추,430,503,565
2022-08-19,배추,504,619,408
2022-08-18,배추,619,454,322
2022-08-17,배추,454,580,541
2022-08-16,배추,580,698,463
2022-08-15,배추,697,0,0
2022-08-13,배추,457,449,348
2022-08-12,배추,449,523,461
2022-08-11,배추,523,279,502
2022-08-10,배추,280,575,381
2022-08-09,배추,574,704,474
2022-08-08,배추,704,0,0
2022-08-05,배추,500,415,314
2022-08-04,배추,414,469,407
2022-08-03,배추,469,449,265
2022-08-02,배추,449,464,401
2022-08-01,배추,464,0,0
2022-07-30,배추,407,443,283
2022-07-29,배추,444,345,274
2022-07-28,배추,345,436,299
