DATE,unit,rate,avg_price
2024-10-05,10,특,34389 
2024-10-05,10,상,27657 
2024-10-05,10,중,19574 
2024-10-05,10,하,10980 
2024-10-04,10,특,31859 
2024-10-04,10,상,25797 
2024-10-04,10,중,16612 
2024-10-04,10,하,9719 
2024-10-03,10,특,31362 
2024-10-03,10,상,27600 
2024-10-03,10,중,20274 
2024-10-03,10,하,15099 
2024-10-02,10,특,33025 
2024-10-02,10,상,27088 
2024-10-02,10,중,18412 
2024-10-02,10,하,13347 
2024-10-01,10,특,31527 
2024-10-01,10,상,25313 
2024-10-01,10,중,18049 
2024-10-01,10,하,10971 
2024-09-30,10,특,34299 
2024-09-30,10,상,23019 
2024-09-30,10,중,14817 
2024-09-30,10,하,6904 
2024-09-29,10,특,0 
2024-09-29,10,상,0 
2024-09-29,10,중,0 
2024-09-29,10,하,0 
2024-09-28,10,특,29463 
2024-09-28,10,상,19198 
2024-09-28,10,중,11827 
2024-09-28,10,하,4583 
2024-09-27,10,특,33730 
2024-09-27,10,상,21139 
2024-09-27,10,중,13304 
2024-09-27,10,하,6468 
2024-09-26,10,특,31502 
2024-09-26,10,상,19921 
2024-09-26,10,중,14167 
2024-09-26,10,하,7925 
2024-09-25,10,특,40379 
2024-09-25,10,상,24551 
2024-09-25,10,중,17302 
2024-09-25,10,하,11852 
2024-09-24,10,특,38845 
2024-09-24,10,상,25141 
2024-09-24,10,중,15682 
2024-09-24,10,하,9302 
2024-09-23,10,특,44344 
2024-09-23,10,상,35686 
2024-09-23,10,중,19328 
2024-09-23,10,하,10698 
2024-09-22,10,특,0 
2024-09-22,10,상,0 
2024-09-22,10,중,0 
2024-09-22,10,하,0 
2024-09-21,10,특,64195 
2024-09-21,10,상,28933 
2024-09-21,10,중,10923 
2024-09-21,10,하,6700 
2024-09-20,10,특,46310 
2024-09-20,10,상,26568 
2024-09-20,10,중,9980 
2024-09-20,10,하,4823 
2024-09-19,10,특,0 
2024-09-19,10,상,0 
2024-09-19,10,중,0 
2024-09-19,10,하,0 
2024-09-17,10,특,0 
2024-09-17,10,상,0 
2024-09-17,10,중,0 
2024-09-17,10,하,0 
2024-09-16,10,특,36049 
2024-09-16,10,상,29964 
2024-09-16,10,중,17558 
2024-09-16,10,하,7366 
2024-09-15,10,특,0 
2024-09-15,10,상,0 
2024-09-15,10,중,0 
2024-09-15,10,하,0 
2024-09-14,10,특,60977 
2024-09-14,10,상,41483 
2024-09-14,10,중,18680 
2024-09-14,10,하,5583 
2024-09-13,10,특,45335 
2024-09-13,10,상,26069 
2024-09-13,10,중,9359 
2024-09-13,10,하,1692 
2024-09-12,10,특,42422 
2024-09-12,10,상,24291 
2024-09-12,10,중,8671 
2024-09-12,10,하,2610 
2024-09-11,10,특,39299 
2024-09-11,10,상,23295 
2024-09-11,10,중,9807 
2024-09-11,10,하,3320 
2024-09-10,10,특,37880 
2024-09-10,10,상,21359 
2024-09-10,10,중,8274 
2024-09-10,10,하,3414 
2024-09-09,10,특,33433 
2024-09-09,10,상,20724 
2024-09-09,10,중,9931 
2024-09-09,10,하,4815 
2024-09-07,10,특,29610 
2024-09-07,10,상,20785 
2024-09-07,10,중,10839 
2024-09-07,10,하,5755 
2024-09-06,10,특,30851 
2024-09-06,10,상,22691 
2024-09-06,10,중,11559 
2024-09-06,10,하,6338 
2024-09-05,10,특,31657 
2024-09-05,10,상,25733 
2024-09-05,10,중,14798 
2024-09-05,10,하,8377 
2024-09-04,10,특,29682 
2024-09-04,10,상,25007 
2024-09-04,10,중,12291 
2024-09-04,10,하,5207 
2024-09-03,10,특,27555 
2024-09-03,10,상,20771 
2024-09-03,10,중,10490 
2024-09-03,10,하,3354 
2024-09-02,10,특,26842 
2024-09-02,10,상,20901 
2024-09-02,10,중,10679 
2024-09-02,10,하,4531 
2024-09-01,10,특,0 
2024-09-01,10,상,0 
2024-09-01,10,중,0 
2024-09-01,10,하,0 
2024-08-31,10,특,25473 
2024-08-31,10,상,21388 
2024-08-31,10,중,13181 
2024-08-31,10,하,7468 
2024-08-30,10,특,24690 
2024-08-30,10,상,20115 
2024-08-30,10,중,15621 
2024-08-30,10,하,8916 
2024-08-29,10,특,22518 
2024-08-29,10,상,18212 
2024-08-29,10,중,12203 
2024-08-29,10,하,4726 
2024-08-28,10,특,23377 
2024-08-28,10,상,19714 
2024-08-28,10,중,13372 
2024-08-28,10,하,5640 
2024-08-27,10,특,20244 
2024-08-27,10,상,15783 
2024-08-27,10,중,8426 
2024-08-27,10,하,2646 
2024-08-26,10,특,21862 
2024-08-26,10,상,17616 
2024-08-26,10,중,11509 
2024-08-26,10,하,4487 
2024-08-25,10,특,0 
2024-08-25,10,상,0 
2024-08-25,10,중,0 
2024-08-25,10,하,0 
2024-08-24,10,특,25110 
2024-08-24,10,상,19505 
2024-08-24,10,중,15223 
2024-08-24,10,하,8608 
2024-08-23,10,특,24100 
2024-08-23,10,상,18371 
2024-08-23,10,중,14165 
2024-08-23,10,하,10609 
2024-08-22,10,특,24550 
2024-08-22,10,상,17161 
2024-08-22,10,중,13457 
2024-08-22,10,하,11354 
2024-08-21,10,특,19900 
2024-08-21,10,상,16156 
2024-08-21,10,중,12262 
2024-08-21,10,하,8523 
2024-08-20,10,특,19205 
2024-08-20,10,상,15875 
